date,fitted,residual
2023-07-01,2.7577863708069428,-1.659174082138833
2023-07-02,2.8290305189822176,-0.631805941645998
2023-07-03,2.8645314227313246,-0.9186212736760113
2023-07-04,2.9047713630076104,-0.5068760902092397
2023-07-05,2.86287117829452,-0.7834296366146845
2023-07-06,2.892552609692622,-0.9466424606373087
2023-07-07,2.834790403515931,-1.0430309342878759
2023-07-08,2.7627352462166757,-0.6832937045368399
2023-07-09,2.8345978833040983,-0.2696485258425616
2023-07-10,2.870670104826223,-1.2612321923921226
2023-07-11,2.9114356430982795,-0.8319941014184438
2023-07-12,2.8700169236607715,-0.3851102738727712
2023-07-13,2.9001374049452635,-0.2610800753300051
2023-07-14,2.8427736750929506,-0.8968635260376374
2023-07-15,2.7710783807612693,-0.6916368390814336
2023-07-16,2.8432643396011645,-0.646039762264945
2023-07-17,2.87962551899186,-0.10703679675207889
2023-07-18,2.9206479267355374,-0.3556985692740007
2023-07-19,2.8794563547144016,-0.481561081916031
2023-07-20,2.9097767110084303,-0.5118814382100596
2023-07-21,2.8525881089397385,-0.1445379078375284
2023-07-22,2.7810457879002946,-0.3831505151019239
2023-07-23,2.853365217667648,-0.4554699448692774
2023-07-24,2.8898430688180223,-0.49194779601965166
2023-07-25,2.9309680949621457,-0.366018737500609
2023-07-26,2.8898678678295906,-0.40496121804159024
2023-07-27,2.920271100723577,-0.02989934282741258
2023-07-28,2.863159728835996,-0.37825307904799566
2023-07-29,2.7916918213034587,-0.1526344916882003
2023-07-30,2.864085676733169,-0.3791790269451685
2023-07-31,2.900640784832177,-0.19259058372996707
2023-08-01,2.9418486998895603,-0.6392636068955144
2023-08-02,2.9008397671614117,-0.12825104492163053
2023-08-03,2.9313454377045214,-0.09813209364830522
2023-08-04,2.8743503401722603,-0.16630013907005026
2023-08-05,2.8030151844769238,-1.1935772720428235
2023-08-06,2.8755608490704434,-0.31061149160890666
2023-08-07,2.912289334499761,-0.4273826847117608
2023-08-08,2.9536946290086377,-0.3887452715471009
2023-08-09,2.9129094272575347,-0.4280027774695343
2023-08-10,2.9436674377285796,0.052064835825411215
2023-08-11,2.8869554473496497,0.0034163105465148114
2023-08-12,2.8159362182616285,-0.17687888864637014
2023-08-13,2.8888325684998386,-0.8093910268200029
2023-08-14,2.925948319264171,0.06978395428981976
2023-08-15,2.967779154567157,0.21027467578078873
2023-08-16,2.9274593343480877,-0.529564061549717
2023-08-17,2.95872399663583,-0.1255106525796137
2023-08-18,2.902561217308929,-0.012189459412764503
2023-08-19,2.8321349023906817,-0.1240847012884716
2023-08-20,2.9056688646626503,-0.13308014242286914
2023-08-21,2.9434677672826286,-0.17087904504284745
2023-08-22,2.986027980206559,-0.041589001040118756
2023-08-23,2.9464842905117115,-0.2384340894095014
2023-08-24,2.97857220221171,-0.7813476248754903
2023-08-25,2.923279994118821,-0.21522979301661094
2023-08-26,2.8537716106967137,-0.45587633789834303
2023-08-27,2.928270737691539,-0.15568201545175775
2023-08-28,2.9670817452304066,-0.6644966522363607
2023-08-29,3.0107005441885994,-0.4457511867270627
2023-08-30,2.972261296923433,-0.13904795286721683
2023-08-31,3.0054987179646604,-0.44054936050312365
2023-09-01,2.951400133214904,-0.46649348342690367
2023-09-02,2.8831283726001433,-0.48523309980177265
2023-09-03,2.958905847953673,-0.125692503897457
2023-09-04,2.9990354988169345,-1.0531253497616213
2023-09-05,3.0440116519517013,-0.1536398940555368
2023-09-06,3.006966735653422,-0.2989165345512119
2023-09-07,3.041633584446375,-0.09719460527993462
2023-09-08,2.988997502703683,-0.28094730160147297
2023-09-09,2.9222191621207023,-0.43731251233270196
2023-09-10,2.9995186848125264,-0.6016234120141557
2023-09-11,3.0411965947053354,-0.2686078724655543
2023-09-12,3.0877446830013358,-0.1433057038348955
2023-09-13,3.052292728791366,-0.34424252768915586
2023-09-14,3.0885708103791774,-0.5236214529176406
2023-09-15,3.037561375842883,-0.6396661030445125
2023-09-16,2.9724221477436457,-0.4074727902821089
2023-09-17,3.051370213733158,-0.16099845583699368
2023-09-18,3.0947029857096555,-0.5297536282481188
2023-09-19,3.1429090732815257,-0.577959715819989
2023-09-20,3.1091150125912863,-0.40106481148907625
2023-09-21,3.147047586042026,-0.5079902564267678
2023-09-22,3.0976859014293514,-0.38963570032714134
2023-09-23,3.0341843053660225,-0.4692349479044857
2023-09-24,3.1147564827274965,-0.8121713897334506
2023-09-25,3.1596964247444643,-1.0802548830646286
2023-09-26,3.2094893114774927,-0.644539954015956
2023-09-27,3.1772582497023847,-0.612308892240848
2023-09-28,3.216726601724014,-0.5086764006218041
2023-09-29,3.16887007359729,-0.2784983157011256
2023-09-30,3.106839637617982,-0.9096150602817623
2023-10-01,3.1888456407872376,-0.9916210634510181
2023-10-02,3.2351787818515865,-0.7502721320635861
2023-10-03,3.2863210026294323,-0.8884257298310616
2023-10-04,3.255392234628763,-0.422178890572547
2023-10-05,3.296112736450258,-0.4628993923940419
2023-10-06,3.2494551904312283,-0.6845058329696916
2023-10-07,3.1885676333703317,-0.8859825403762858
2023-10-08,3.271657573014593,-0.43844422895837676
2023-10-09,3.3190129728887667,-0.4286412149926022
2023-10-10,3.3711131511568913,-0.23561893522774158
2023-10-11,3.3410755345002725,-0.08297899647879037
2023-10-12,3.382618002486308,-0.33809556476288494
2023-10-13,3.336710990864586,-0.24566853750626994
2023-10-14,3.276500428612016,0.09079540137445807
2023-10-15,3.3601918603912173,-0.5269785163350011
2023-10-16,3.408071436985803,-0.1891956121176026
2023-10-17,3.460616819386986,-0.5702450614908217
2023-10-18,3.430943937501311,-0.2954497215721612
2023-10-19,3.472769338940535,-0.10547350895406105
