lag,ccf_prewhitened,abs_ccf_prewhitened,n_pairs,ccf_raw_diagnostic,screen_rank
28,0.027533066788450723,0.027533066788450723,883,0.43998966818144797,26
29,0.03501375238133391,0.03501375238133391,883,0.4454146492499385,19
30,-0.04778865889091492,0.04778865889091492,883,0.44852087363102455,7
31,0.013506233194188302,0.013506233194188302,883,0.4549558134545381,39
32,-0.002518308449852759,0.002518308449852759,883,0.4612649129381974,57
33,0.05287257730988753,0.05287257730988753,883,0.4677827914998164,5
34,-0.034222414205919455,0.034222414205919455,883,0.4708867956313697,21
35,0.05238283378117903,0.05238283378117903,883,0.4750855185087966,6
36,-0.03441988236713886,0.03441988236713886,883,0.47597980317238703,20
37,0.015553123598811185,0.015553123598811185,883,0.4788961699042264,36
38,0.019477049779130798,0.019477049779130798,883,0.4804822666420342,34
39,-0.023198057110829326,0.023198057110829326,883,0.48053338218263586,29
40,-0.007221658871070001,0.007221658871070001,883,0.4819371276869356,48
41,0.008849536785269107,0.008849536785269107,883,0.48421010435856765,44
42,0.0027271137631985874,0.0027271137631985874,883,0.4858524923967137,55
43,-0.05317757825342973,0.05317757825342973,883,0.4876426595489582,4
44,0.0059778743516278555,0.0059778743516278555,883,0.4927321680006157,51
45,0.07320590395382805,0.07320590395382805,883,0.4971773393021632,1
46,0.016576044250620706,0.016576044250620706,883,0.4962567340628861,35
47,-0.03960362849168255,0.03960362849168255,883,0.49411285316478837,13
48,0.0004470155061601518,0.0004470155061601518,883,0.49597439200911386,63
49,0.008271235127900883,0.008271235127900883,883,0.4979420646695982,45
50,-0.006450233165116527,0.006450233165116527,883,0.4993467348926597,50
51,0.004725714172489346,0.004725714172489346,883,0.5016613327652608,53
52,0.02206265428560287,0.02206265428560287,883,0.5027554726212775,33
53,-0.041473535786960176,0.041473535786960176,883,0.5028811358599382,12
54,-0.015548867128226833,0.015548867128226833,883,0.505851915282725,37
55,0.001270729076661899,0.001270729076661899,883,0.5098648821341144,60
56,0.047031772134329596,0.047031772134329596,883,0.5138475654281343,8
57,-0.03919592818983945,0.03919592818983945,883,0.5147538981762397,14
58,0.0018564985893914036,0.0018564985893914036,883,0.5168921031885619,59
59,-0.038097507126089274,0.038097507126089274,883,0.5192711499544963,16
60,0.022608242541133708,0.022608242541133708,883,0.5238106915605061,32
61,0.02942499020094472,0.02942499020094472,883,0.5259743957642461,25
62,-0.001103548775340438,0.001103548775340438,883,0.5257473940018972,61
63,-0.004025811841819111,0.004025811841819111,883,0.525204813394098,54
64,-0.007438285078467305,0.007438285078467305,883,0.5250071974297981,47
65,0.03262305797606094,0.03262305797606094,883,0.5243391781311363,22
66,0.000593579512988204,0.000593579512988204,883,0.5216074295927521,62
67,-0.0026162337140477085,0.0026162337140477085,883,0.5185193269599668,56
68,0.01259465554883314,0.01259465554883314,883,0.5159885402427699,40
69,-0.00721661018394523,0.00721661018394523,883,0.5121599684624804,49
70,-0.025167357238866813,0.025167357238866813,883,0.5090463563840827,27
71,0.04492638000485875,0.04492638000485875,883,0.5074091115953026,11
72,0.02389019578697763,0.02389019578697763,883,0.5026083681877408,28
73,-0.009287306216854434,0.009287306216854434,883,0.4958326904086782,42
74,-0.009224889472333013,0.009224889472333013,883,0.489721354363597,43
75,-0.045381808328548906,0.045381808328548906,883,0.48454572458129197,10
76,0.03510719608453496,0.03510719608453496,883,0.48231898800828954,18
77,0.0020285479917357798,0.0020285479917357798,883,0.4775865929252165,58
78,-0.015201968121157181,0.015201968121157181,883,0.47255565472646294,38
79,-0.005273497420483142,0.005273497420483142,883,0.4684858940699434,52
80,0.007664174403055849,0.007664174403055849,883,0.4643493898463114,46
81,-0.03522852864394231,0.03522852864394231,883,0.4601716677533139,17
82,0.03229976719189578,0.03229976719189578,883,0.4586970356962766,24
83,0.02267483238219789,0.02267483238219789,883,0.4546555284148149,31
84,-0.06861367182912227,0.06861367182912227,883,0.4496800790263956,2
85,0.03845631884045006,0.03845631884045006,883,0.44897762247030454,15
86,-0.00983748894088204,0.00983748894088204,883,0.4471829440115356,41
87,0.06517220874583611,0.06517220874583611,883,0.44623334765950246,3
88,-0.03232882320571519,0.03232882320571519,883,0.4418759335243176,23
89,-0.02293519810563652,0.02293519810563652,883,0.44055571458376824,30
90,0.04690228088928069,0.04690228088928069,883,0.4407620253401955,9
