lag,aicc,converged,iterations,nobs_effective,n_exog,seconds
84,-13.432552729041042,True,23,883,3,0.4
33,-13.399132516951308,True,26,883,3,0.5
43,-11.200197175414491,True,30,883,3,0.4
45,-10.399031193350023,True,21,883,3,0.4
87,-9.941679405384878,True,21,883,3,0.4
