candidate,p,q,P,Q,k_arma,n_exog,k_params_total,aicc,aic,nobs,nobs_effective,llf_burn,converged,lb_lag,lb_stat,lb_df,lb_pvalue,lb_pass
fourier_K2,0,2,1,0,3,4,8,-7.508142191967082,-7.67290191736754,884,883,1,True,14,11.834729884934063,11,0.37619347373471607,True
fourier_K2,0,2,0,1,3,4,8,-7.413151653520437,-7.577911378920895,884,883,1,True,14,11.95533758702083,11,0.3670097117156398,True
fourier_K2,2,1,0,0,3,4,8,-7.359795790872923,-7.524555516273381,884,883,1,True,14,12.755414510513036,11,0.30961157973795084,True
fourier_K1,0,1,0,0,1,2,4,-7.352377354993953,-7.397935441554317,884,883,1,True,14,21.265564753655024,13,0.06783942099899878,True
fourier_K5,3,3,1,1,8,10,19,-7.297944651744928,-8.178593550933805,884,883,1,False,14,5.244877898630362,6,0.5128110952552212,True
fourier_K2,1,1,1,0,3,4,8,-7.082395815899744,-7.247155541300202,884,883,1,True,14,12.103867981097185,11,0.3558866782347716,True
fourier_K2,1,1,0,1,3,4,8,-6.9824536876205165,-7.147213413020975,884,883,1,True,14,12.232732480950109,11,0.3464062203665325,True
fourier_K5,2,2,1,0,5,10,16,-6.888365220902976,-7.516540740533458,884,883,1,False,14,8.23463605235101,9,0.5106845935573584,True
fourier_K5,2,2,0,1,5,10,16,-6.787329243328365,-7.415504762958847,884,883,1,False,14,8.323381003048574,9,0.5019142160497803,True
fourier_K6,2,2,2,0,6,12,19,-6.674671257346795,-7.555320156535672,884,883,1,False,14,7.9806404434157034,8,0.43536351230017756,True
fourier_K1,0,1,1,0,2,2,5,-6.596513607423342,-6.664928658734631,884,883,1,True,14,18.24889584554324,12,0.10833953229170669,True
fourier_K2,1,3,0,0,4,4,9,-6.5880256988127215,-6.79421126582303,884,883,1,False,14,10.37998256525503,10,0.4078120315604545,True
fourier_K2,0,3,0,0,3,4,8,-6.548511887407578,-6.713271612808036,884,883,1,True,14,13.395791726882997,11,0.2682453898136887,True
fourier_K6,2,2,0,2,6,12,19,-6.546135140210346,-7.426784039399223,884,883,1,False,14,7.9327131248510465,8,0.4400704158180029,True
fourier_K1,0,1,0,1,2,2,5,-6.504966936804886,-6.573381988116175,884,883,1,True,14,18.48508819947222,12,0.10173578317051503,True
