date,fitted,residual,abs_residual
2023-07-02,1.9466938679557693,6.053306132044231,6.053306132044231
2023-07-03,5.490630740041819,0.5093692599581807,0.5093692599581807
2023-07-04,5.277900533400704,4.722099466599296,4.722099466599296
2023-07-05,7.112320272209182,-0.11232027220918184,0.11232027220918184
2023-07-06,6.549537757634678,-0.5495377576346776,0.5495377576346776
2023-07-07,6.209845054456835,-1.209845054456835,1.209845054456835
2023-07-08,5.5731090353505515,1.4268909646494485,1.4268909646494485
2023-07-09,6.596103645851873,5.403896354148127,5.403896354148127
2023-07-10,8.087618484184958,-4.087618484184958,4.087618484184958
2023-07-11,6.397059425246024,0.6029405747539762,0.6029405747539762
2023-07-12,6.735691049791569,4.264308950208431,4.264308950208431
2023-07-13,8.037892229536126,4.962107770463874,4.962107770463874
2023-07-14,9.087185734745361,-3.0871857347453613,3.0871857347453613
2023-07-15,7.600977007697438,-0.6009770076974377,0.6009770076974377
2023-07-16,8.021406878668081,-0.02140687866808122,0.02140687866808122
2023-07-17,7.579802116780634,7.420197883219366,7.420197883219366
2023-07-18,10.215462351446781,1.7845376485532185,1.7845376485532185
2023-07-19,10.255506568054884,-0.2555065680548836,0.2555065680548836
2023-07-20,10.003967682749828,-0.003967682749827617,0.003967682749827617
2023-07-21,9.518249738187201,4.481750261812799,4.481750261812799
2023-07-22,11.061716200287709,-1.0617162002877087,1.0617162002877087
2023-07-23,10.327886548032566,-0.32788654803256634,0.32788654803256634
2023-07-24,10.805531108694218,-0.8055311086942183,0.8055311086942183
2023-07-25,10.436405951249373,1.5635940487506268,1.5635940487506268
2023-07-26,10.955860341326598,0.04413965867340153,0.04413965867340153
2023-07-27,10.873778025956947,6.1262219740430535,6.1262219740430535
2023-07-28,13.152999468151535,-2.1529994681515348,2.1529994681515348
2023-07-29,11.55066340787058,1.44933659212942,1.44933659212942
2023-07-30,12.220520137119781,-1.220520137119781,1.220520137119781
2023-07-31,11.769352221273504,2.230647778726496,2.230647778726496
2023-08-01,12.82671861294538,-3.8267186129453794,3.8267186129453794
2023-08-02,11.388903767124262,3.611096232875738,3.611096232875738
2023-08-03,13.461448713815326,2.538551286184674,2.538551286184674
2023-08-04,13.60317832009561,0.39682167990438977,0.39682167990438977
2023-08-05,13.627427394945274,-9.627427394945274,9.627427394945274
2023-08-06,10.413171822638171,1.586828177361829,1.586828177361829
2023-08-07,12.328762941351604,-1.328762941351604,1.328762941351604
2023-08-08,11.668161982360637,0.33183801763936316,0.33183801763936316
2023-08-09,12.471298862634292,-1.471298862634292,1.471298862634292
2023-08-10,12.184209799460106,6.815790200539894,6.815790200539894
2023-08-11,14.516778711611703,2.4832212883882967,2.4832212883882967
2023-08-12,13.985200482940666,-0.985200482940666,0.985200482940666
2023-08-13,13.962144683072202,-6.962144683072202,6.962144683072202
2023-08-14,11.850214555311126,7.149785444688874,7.149785444688874
2023-08-15,15.154462283313698,7.845537716686302,7.845537716686302
2023-08-16,17.057447421869952,-7.057447421869952,7.057447421869952
2023-08-17,14.506828168091824,1.4931718319081764,1.4931718319081764
