lag,aicc,converged,iterations,nobs_effective,n_exog,seconds
42,-10.728356501906244,True,20,883,3,0.3
91,-10.131344179988865,True,27,883,3,0.4
63,-10.045520896404977,True,27,883,3,0.4
70,-9.941990941953378,True,27,883,3,0.4
105,-9.768973224236536,True,27,883,3,0.4
