lag,ccf_prewhitened,abs_ccf_prewhitened,n_pairs,ccf_raw_diagnostic,screen_rank
28,0.024237973552363318,0.024237973552363318,883,0.5384138802643096,7
35,0.010121858385432746,0.010121858385432746,883,0.5403287363939189,13
42,-0.07239939499251663,0.07239939499251663,883,0.5459669059957093,1
49,0.020719683517922746,0.020719683517922746,883,0.551719089139244,9
56,0.007509713692111418,0.007509713692111418,883,0.5423675058288976,14
63,-0.03204969218739594,0.03204969218739594,883,0.531433234529957,5
70,0.03554717258970669,0.03554717258970669,883,0.5186617121441227,4
77,0.019457732265726727,0.019457732265726727,883,0.49079893626765186,10
84,-0.02093722580299237,0.02093722580299237,883,0.4524316265505073,8
91,0.03833872211386383,0.03833872211386383,883,0.4022556658237437,2
98,0.02550858119507769,0.02550858119507769,883,0.3373022733157694,6
105,0.03610450949770602,0.03610450949770602,883,0.25218430055211455,3
112,-0.015917843288044096,0.015917843288044096,883,0.15968376081896504,12
119,-0.019146196115163036,0.019146196115163036,883,0.08584607371236294,11
