horizon,model,n,MAE,RMSE,MASE,MAPE,MdAPE
7,M0,216,9.717592592592593,12.351525621767749,0.7802996377248432,38.0862053879916,26.470588235294116
7,M1,216,6.167154414772778,7.829424569195861,0.4952078727100138,23.990144481483817,18.67483907779561
7,M2,216,6.328998481587649,8.147279872306056,0.5082035674255778,24.586996637919725,19.682267743602473
7,M3,216,6.244227611890815,7.955973540839106,0.5013966676421395,24.32664325317203,19.432859459317953
7,M4,216,6.226204847661358,7.872612436867438,0.49994948241956033,24.210212784307345,18.820580510083147
7,M5,216,6.549461742559999,8.459282739395249,0.5259062444033606,25.364595908744572,20.505819347011176
14,M0,216,9.685185185185185,12.347214410696191,0.7776973997714969,38.64921895243489,27.52403846153846
14,M1,216,6.140314144515809,8.160240549868695,0.49305266266612763,24.826004051833312,18.787205996432636
14,M2,216,6.483579232444339,8.604758427122079,0.5206160350962902,26.03605856792671,19.750641089344597
14,M3,216,6.429560581239162,8.575703283670146,0.5162784655219169,25.68310318693768,19.154626493038855
14,M4,216,6.246838480188837,8.269868871434719,0.5016063141742083,25.164077832408,18.879679449945534
14,M5,216,7.008352145696813,9.429391815669149,0.5627540554132614,27.576705770497195,20.755854645878763
28,M0,216,9.166666666666666,11.838809374570038,0.7360615925179559,38.80206274696102,26.568627450980394
28,M1,216,6.218568692236545,8.530884229127672,0.4993363172498109,26.516047665199057,17.70173810849098
28,M2,216,6.578729885078218,9.369105613718974,0.5282564068315792,27.632146589120346,18.415352691162695
28,M3,216,6.831230378491307,9.62044577880053,0.5485315975908382,28.520676461237958,21.520514042514932
28,M4,216,6.396196891104878,8.734125611152006,0.5135994403336424,26.958271699480665,18.18963304699878
28,M5,216,7.504552584747025,11.158611428045901,0.6025977738178514,30.4527631894007,21.991355085100437
