lag,aicc,converged,iterations,nobs_effective,n_exog,seconds
84,-28.809724329724013,True,157,883,13,10.4
33,-24.10714318529311,True,174,883,13,12.3
43,-22.25240261534335,True,185,883,13,13.1
45,-20.459566788612918,True,182,883,13,14.0
87,-20.449075805080575,True,217,883,13,15.2
