aicc,converged,iterations,nobs_effective,k_params_total,n_exog,b,f,pad_total,days_H_NY,days_H_OT,overlap_days_H_NY,overlap_days_H_OT,seconds
-11.026402912145233,True,15,883,7,4,3,2,5,31,75,0,2,0.3
-10.488442295609243,True,18,883,7,4,3,4,7,35,91,0,4,0.4
-9.49901234784177,True,23,883,7,4,2,2,4,29,67,0,1,0.4
-9.298332831206196,True,19,883,7,4,3,3,6,33,83,0,3,0.4
-9.273089911134118,True,22,883,7,4,4,2,6,33,83,0,3,0.4
-9.240953967001072,True,23,883,7,4,4,4,8,37,98,0,6,0.4
-9.023656390811713,True,25,883,7,4,2,4,6,33,83,0,3,0.5
-8.223902295859261,True,29,883,7,4,2,3,5,31,75,0,2,0.5
-8.038688841609297,True,28,883,7,4,4,3,7,35,91,0,4,0.5
