candidate,p,q,P,Q,k_arma,n_exog,k_params_total,aicc,aic,nobs,nobs_effective,llf_burn,converged,lb_lag,lb_stat,lb_df,lb_pvalue,lb_pass
fourier_K3,1,1,1,0,3,6,10,-10.268146130479519,-10.520439708461168,884,883,1,True,14,11.663865160454495,11,0.3894322149737831,True
fourier_K3,2,1,0,0,3,6,10,-10.209679935349016,-10.461973513330665,884,883,1,True,14,12.220195852348693,11,0.34732153409873606,True
fourier_K3,1,1,0,1,3,6,10,-10.18660375948594,-10.43889733746759,884,883,1,True,14,11.760275646049319,11,0.3819296973358866,True
fourier_K1,1,3,0,0,4,2,7,-10.169744138779727,-10.297744138779727,884,883,1,True,14,10.484120668052261,10,0.3990937362080772,True
fourier_K1,0,3,0,0,3,2,6,-10.138939155750535,-10.23482956670944,884,883,1,True,14,13.490166554688617,11,0.26249815623315964,True
fourier_K4,1,1,0,0,2,8,11,-10.093009087565246,-10.396108972754682,884,883,1,True,14,12.830986204109543,12,0.3814441561752689,True
fourier_K3,1,3,0,0,4,6,11,-9.976572281741714,-10.27967216693115,884,883,1,True,14,9.658445885025222,10,0.4709523990290385,True
fourier_K1,1,2,0,0,3,2,6,-9.892859001008038,-9.988749411966943,884,883,1,True,14,13.435834705477095,11,0.26579590708455936,True
fourier_K6,0,2,1,0,3,12,16,-9.79565847404853,-10.423833993679011,884,883,1,True,14,11.465523695373639,11,0.405126401677618,True
fourier_K6,0,2,0,1,3,12,16,-9.73751854110148,-10.365694060731961,884,883,1,True,14,11.533115108774261,11,0.39973940033491756,True
fourier_K4,0,2,1,0,3,8,12,-9.627442448885514,-9.986063138540686,884,883,1,True,14,11.347527571592332,11,0.41462445779206936,True
fourier_K3,0,3,0,0,3,6,10,-9.572579966585977,-9.824873544567627,884,883,1,True,14,12.731780751270065,11,0.3112169978720548,True
fourier_K4,0,2,0,1,3,8,12,-9.556905398312207,-9.915526087967379,884,883,1,True,14,11.425014037516798,11,0.40837386752201293,True
