candidate,p,q,P,Q,k_arma,n_exog,k_params_total,aicc,aic,nobs,nobs_effective,llf_burn,converged,lb_lag,lb_stat,lb_df,lb_pvalue,lb_pass
monthly,0,2,1,1,4,12,17,6032.550273999994,6031.842759549127,884,883,1,False,14,6.704172800426497,10,0.7530464576316136,True
fourier_K1,1,1,1,0,3,2,6,6006.900316124787,6006.804425713828,884,883,1,True,14,5.377969715649675,11,0.9114900585094617,True
fourier_K2,1,1,1,0,3,4,8,6010.245999119129,6010.0812393937285,884,883,1,True,14,5.410277554378552,11,0.9096824252575675,True
fourier_K3,1,1,0,1,3,6,10,6011.504248671059,6011.251955093077,884,883,1,False,14,5.601400283357248,11,0.8985935611677572,True
fourier_K4,1,1,0,1,3,8,12,6014.377650322726,6014.019029633071,884,883,1,False,14,5.72920719584109,11,0.8908075310047054,True
fourier_K5,1,2,1,0,4,10,15,6013.201550181947,6012.647916963954,884,883,1,False,14,14.212777455322364,10,0.16350553850100052,True
fourier_K6,1,2,1,1,5,12,18,6011.961770293926,6011.170103627259,884,883,1,False,14,15.868975265078092,9,0.06966865552964546,True
